SABAP2_number,Alphabetical_name,SA_name,Scientific_name,BLI_scientific_name,Assessment_status,ebirds_name,inat_name
848,"Albatross, Amsterdam",Amsterdam Albatross,Diomedea amsterdamensis,Diomedea amsterdamensis,Vagrant,,
4151,"Albatross, Atlantic Yellow-nosed",Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,Thalassarche chlororhynchos,Assessable,Thalassarche chlororhynchos,Thalassarche chlororhynchos
8,"Albatross, Black-browed",Black-browed Albatross,Thalassarche melanophris,Thalassarche melanophris,Assessable,Thalassarche melanophris,Thalassarche melanophris
1002,"Albatross, Buller’s",Buller's Albatross,Thalassarche bulleri,Thalassarche bulleri,Vagrant,Thalassarche bulleri,
2256,"Albatross, Chatham",Chatham Albatross,Thalassarche eremita,Thalassarche eremita,Vagrant,Thalassarche eremita,
9,"Albatross, Grey-headed",Grey-headed Albatross,Thalassarche chrysostoma,Thalassarche chrysostoma,Assessable,Thalassarche chrysostoma,Thalassarche chrysostoma
1079,"Albatross, Indian Yellow-nosed",Indian Yellow-nosed Albatross,Thalassarche carteri,Thalassarche carteri,Assessable,,Thalassarche carteri
1012,"Albatross, Laysan",Laysan Albatross,Phoebastria immutabilis,Phoebastria immutabilis,Vagrant,Phoebastria immutabilis,
876,"Albatross, Light-mantled",Light-mantled Albatross,Phoebetria palpebrata,Phoebetria palpebrata,Assessable,Phoebetria palpebrata,
2230,"Albatross, Northern Royal",Northern Royal Albatross,Diomedea sanfordi,Diomedea sanfordi,Assessable,,
1081,"Albatross, Salvin’s",Salvin’s Albatross,Thalassarche salvini,Thalassarche salvini,Vagrant,Thalassarche salvini,
4150,"Albatross, Shy",Shy Albatross,Thalassarche cauta,Thalassarche cauta,Assessable,Thalassarche cauta,Thalassarche cauta
12,"Albatross, Sooty",Sooty Albatross,Phoebetria fusca,Phoebetria fusca,Assessable,Phoebetria fusca,Phoebetria fusca
4149,"Albatross, Southern Royal",Southern Royal Albatross,Diomedea epomophora,Diomedea epomophora,Assessable,Diomedea epomophora,Diomedea epomophora
1080,"Albatross, Tristan",Tristan Albatross,Diomedea dabbenena,Diomedea dabbenena,Assessable,,Diomedea dabbenena
4148,"Albatross, Wandering",Wandering Albatross,Diomedea exulans,Diomedea exulans,Assessable,Diomedea exulans,Diomedea exulans
622,"Apalis, Bar-throated",Bar-throated Apalis,Apalis thoracica,Apalis thoracica,Assessable,Apalis thoracica,Apalis thoracica
624,"Apalis, Rudd’s",Rudd’s Apalis,Apalis ruddi,Apalis ruddi,Assessable,Apalis ruddi,Apalis ruddi
625,"Apalis, Yellow-breasted",Yellow-breasted Apalis,Apalis flavida,Apalis flavida,Assessable,Apalis flavida,Apalis flavida
269,"Avocet, Pied",Pied Avocet,Recurvirostra avosetta,Recurvirostra avosetta,Assessable,Recurvirostra avosetta,Recurvirostra avosetta
533,"Babbler, Arrow-marked",Arrow-marked Babbler,Turdoides jardineii,Turdoides jardineii,Assessable,Turdoides jardineii,Turdoides jardineii
